Actual_X,Actual_Y,Predicted_Y
"['t', 'i', 'k', 'o', 'n', 'e']","['त', 'ि', 'क', 'ो', 'न', 'े']","['ट', 'ि', 'क', 'ो', 'न', 'े']"
"['b', 'a', 'j', 'i']","['ब', 'ा', 'ज', '़', 'ी']","['ब', 'ा', 'ज', 'ी']"
"['n', 'a', 'h', 'i', 'n', 'k', 'a', 'r', 'w', 'a', 'a', 'e', 'e']","['न', 'ह', 'ी', 'ं', 'क', 'र', 'व', 'ा', 'ई']","['न', 'ह', 'ी', 'ं', 'क', 'र', 'व', 'ा', 'ई']"
"['n', 'c', 'r', 'w', 'c']","['ए', 'न', 'स', 'ी', 'आ', 'र', 'ड', 'ब', '्', 'ल', '्', 'य', 'ू', 'स', 'ी']","['ए', 'न', 'आ', 'र', 'स', 'ी', 'व', 'ी', 'स', 'ी']"
"['k', 'a', 'r', 'y', 'a', 'k', 'a', 'a', 'r', 'y', 'a', 'k', 'a', 'r', 't', 'a', 'o', 'n']","['क', 'ा', 'र', '्', 'य', 'क', 'ा', 'र', '्', 'य', 'क', 'र', '्', 'त', 'ा', 'ओ', 'ं']","['क', 'ा', 'र', '्', 'य', 'क', 'ा', 'र', '्', 'य', 'क', 'र', '्', 'त', 'ा', 'ओ', 'ं']"
"['t', 'h', 'i', 'r', 'a', 'k', 'e']","['थ', 'ि', 'र', 'क', 'े']","['थ', 'ि', 'र', 'ा', 'क', 'े']"
"['o', 'f', 'f', 'h', 'o', 'r']","['ऑ', 'फ', 'ो', 'र']","['ओ', 'फ', '्', 'स', 'ॉ', 'र']"
"['b', 'a', 'h', 'u', 'n', 't']","['ब', 'ह', 'ु', 'ं', 'त']","['ब', 'ह', 'ु', 'ं', 'त']"
"['p', 'r', 'a', 'v', 'e', 'e', 'n', 'c', 'h', 'a', 'n', 'd']","['प', '्', 'र', 'व', 'ी', 'न', 'च', 'ं', 'द']","['प', '्', 'र', 'व', 'ि', 'ं', 'च', 'ं', 'द']"
"['h', 'u', 'r', 'o', 'o', 'h']","['ु', 'र', 'ू', 'ः']","['ु', 'र', 'ू', 'ह']"
"['n', 'a', 'j', 'a', 'r', 'i', 'y', 'o', 'n']","['न', 'ज', 'र', 'ि', 'य', 'ो', 'ं']","['न', 'ज', '़', 'र', 'ि', 'य', 'ो', 'ं']"
"['d', 'h', 'a', 'w', 'a', 'k', 'o', 'n']","['ध', 'ा', 'व', 'क', 'ो', 'ं']","['ध', 'ा', 'व', 'क', 'ो', 'ं']"
"['h', 'a', 'a', 'h', 'i', 'e']","['ह', 'ा', 'ि', 'ए']","['ह', 'ा', 'ी']"
"['v', 'a', 'i', 'g', 'y', 'a', 'n', 'i', 'k', 'a', 't', 'a']","['व', 'ै', 'ज', '्', 'ञ', 'ा', 'न', 'ि', 'क', 'त', 'ा']","['व', 'ै', 'ज', '्', 'ञ', 'ा', 'न', 'ि', 'क', 'त', 'ा']"
"['d', 'h', 'o', 'r', 'a', 'a', 'j', 'i']","['ध', 'ो', 'र', 'ा', 'ज', 'ी']","['ध', 'ो', 'र', 'ा', 'ज', 'ी']"
"['u', 'r', 'v', 'i', 'n']","['स', 'ु', 'र', 'व', 'ी', 'न']","['स', 'र', 'व', 'ि', 'न']"
"['l', 'i', 'i', 'd', 'a', 'r', 'o', 'n']","['ल', 'ी', 'ड', 'र', 'ो', 'ं']","['ल', 'ी', 'द', 'ा', 'र', 'ो', 'ं']"
"['p', 'h', 'a', 'i', 'b', 'r', 'i', 'k']","['फ', 'ा', 'इ', 'ब', '्', 'र', 'ि', 'क']","['फ', 'ा', 'इ', 'ब', '्', 'र', 'ि', 'क']"
"['k', 'a', 'a', 'v', 'y', 'a', 'v', 'i', 'd', 'h', 'a', 'a', 'o', 'n']","['क', 'ा', 'व', '्', 'य', 'व', 'ि', 'ध', 'ा', 'ओ', 'ं']","['क', 'ा', 'व', '्', 'य', 'व', 'ध', 'ा', 'ा', 'ओ', 'ं']"
"['a', 'l', 'a', 'p']","['ऐ', 'ल', '्', 'प', '्', 'स']","['ए', 'ल', '्', 'प', '्', 'स']"
"['g', 'u', 'l', 'a', 'a', 'b', 'a', 'a', 'g']","['ग', 'ु', 'ल', 'ा', 'ब', 'ा', 'ग']","['ग', 'ु', 'ल', 'ा', 'ब', 'ा', 'ग']"
"['d', 'a', 'r', 'a', 'a', 't', 'e', 'e']","['ड', 'र', 'ा', 'त', 'ी']","['द', 'र', 'ा', 'त', 'ी']"
"['b', 'a', 'a', 'b', 'a', 'a', 'o']","['ब', 'ा', 'ब', 'ा', 'ओ']","['ब', 'ा', 'ब', 'ा', 'ओ']"
"['a', 'w', 'a', 't', 'h', 'a', 'e', 'n']","['अ', 'व', 'स', '्', 'थ', 'ा', 'ए', 'ं']","['आ', 'व', 'ा', 'स', '्', 'थ', 'ा', 'ए', 'ं']"
"['l', 'a', 'e', 'n', 'g', 'e', 'e']","['ल', 'ा', 'ए', 'ं', 'ग', 'ी']","['ल', 'े', 'ं', 'ग', 'ी']"
"['j', 'a', 'i', 'p', 'u', 'r']","['ज', 'य', 'प', 'ु', 'र']","['ज', 'ै', 'प', 'ु', 'र']"
"['g', 'h', 'a', 'i']","['घ', 'ा', 'स', 'ी']","['ग', 'ा', 'स', 'ी']"
"['o', 'm', 'v', 'a', 'r']","['स', 'ा', 'े', 'म', 'व', 'ा', 'र']","['स', 'ो', 'म', 'व', 'र']"
"['v', 'y', 'a', 'k', 'h', 'y', 'a', 't', 'm', 'a', 'k', 't', 'a']","['व', '्', 'य', 'ा', 'ख', '्', 'य', 'ा', 'त', '्', 'म', 'क', 'त', 'ा']","['व', '्', 'य', 'ा', 'ख', '्', 'य', 'ा', 'त', '्', 'म', 'क', 'त', 'ा']"
"['m', 'u', 't', 'h', 'o', 'o', 't']","['म', 'ु', 'थ', 'ू', 'ट']","['म', 'ु', 'थ', 'ु', 'ट']"
"['u', 'n', 'd', 'e', 'r', 'w', 'o', 'o', 'd']","['अ', 'ं', 'ड', 'र', 'व', 'ु', 'ड']","['अ', 'ं', 'ड', 'र', 'व', 'ु', 'ड']"
"['a', 'l', 'i', 'a', 'n', 'c', 'e']","['अ', 'ल', 'ा', 'य', 'ं', 'स']","['अ', 'ल', 'ी', 'ए', 'ं', 'स']"
"['d', 'e', 'v', 'e', 'l', 'o', 'p', 'm', 'e', 'n', 't']","['ड', 'े', 'व', 'ल', 'प', 'म', 'े', 'ं', 'ट']","['ड', 'े', 'व', 'ल', 'े', 'प', 'म', 'े', 'ं', 'ट']"
"['r', 'i', 'a', 'a', 'l', 'e', 'e']","['र', 'ि', 'स', 'ा', 'ल', 'ी']","['र', 'ि', 'स', 'ा', 'ल', 'ी']"
"['g', 'i', 'r', 'i', 'd', 'i', 'h']","['ग', 'ि', 'र', 'ि', 'ड', 'ी', 'ह']","['ग', 'ि', 'र', 'ि', 'ड', 'ी', 'ह']"
"['a', 'r', 'g', 'u', 'j', 'a']","['स', 'र', 'ग', 'ु', 'ज', 'ा']","['स', 'र', 'ग', 'ु', 'ज', 'ा']"
"['d', 'a', 'a', 'm', 'p', 'a', 't', 'y', 'a']","['द', 'ा', 'ं', 'प', 'त', '्', 'य']","['द', 'ा', 'म', 'प', 'त', '्', 'य']"
"['a', 'h', 'y', 'a', 'a', 't', 'r', 'e']","['स', 'ह', 'य', 'ा', 'त', '्', 'र', 'ी']","['स', 'ह', 'य', 'ा', 'त', '्', 'र', 'े']"
"['a', 'c', 'h', 'c', 'h', 'i']","['अ', 'च', '्', 'छ', 'ी']","['अ', 'च', '्', 'छ', 'ी']"
"['i', 'd', 'd', 'h', 'a', 'a', 'n', 't']","['स', 'ि', 'द', '्', 'घ', 'ा', 'ं', 'त']","['स', 'ि', 'द', '्', 'ध', 'ा', 'ं', 'त']"
"['o', 'd', 'h', 'k', 'a', 'r']","['ओ', 'ढ', '़', 'क', 'र']","['ओ', 'ध', 'क', 'र']"
"['d', 'e', 'e', 'p', 'i', 'k', 'a']","['द', 'ी', 'प', 'ि', 'क', 'ा']","['द', 'ी', 'प', 'ि', 'क', 'ा']"
"['w', 'e', 'b', 'u', 'n', 'i', 'y', 'a', 'd', 'e', 'e']","['व', 'े', 'ब', 'ु', 'न', 'ि', 'य', 'ा', 'द', 'ी']","['व', 'े', 'ब', 'ू', 'न', 'ि', 'य', 'ा', 'ड', 'ी']"
"['d', 'u', 'k', 'h', 'i', 'y', 'o', 'n']","['द', 'ु', 'ख', 'ि', 'य', 'ो', 'ं']","['द', 'ु', 'ख', 'ि', 'य', 'ो', 'ं']"
"['c', 'o', 'v', 'i', 'n', 'a']","['क', 'ो', 'व', 'ि', 'न', 'ा']","['क', 'ो', 'व', 'ि', 'न', 'ा']"
"['d', 'a', 'l', 't', 'o', 'n']","['ड', 'ा', 'ल', '्', 'ट', 'न']","['ड', 'ल', '्', 'ट', 'न']"
"['l', 'a', 'n', 'd']","['ल', 'ै', 'ं', 'ड']","['ल', 'ै', 'ं', 'ड']"
"['j', 'u', 'd']","['ज', 'ू', 'ड']","['ज', 'ड']"
"['d', 'u', 'h', 't', 'a', 'a', 'p', 'u', 'r', 'v', 'a', 'k']","['द', 'ु', 'ष', '्', 'ट', 'त', 'ा', 'प', 'ू', 'र', '्', 'व', 'क']","['द', 'ु', 'ष', '्', 'ट', 'ा', 'प', 'ू', 'र', '्', 'व', 'क']"
"['h', 'a', 'r', 'a', 'v', 'a', 'l']","['ह', 'र', 'ा', 'व', 'ल']","['ह', 'र', 'ा', 'व', 'ल']"
"['u', 'd', 'a', 'a', 'n']","['उ', 'ड', '़', 'ा', 'न']","['उ', 'ड', '़', 'ा', 'न']"
"['a', 'y', 'r', 'a']","['स', 'ा', 'य', 'र', 'ा']","['स', 'ा', 'य', 'र', 'ा']"
"['a', 'r', 't', 'h', 'o', 'n']","['अ', 'र', '्', 'थ', 'ो', 'ं']","['आ', 'र', '्', 'थ', 'न']"
"['p', 'a', 't']","['स', '्', 'प', 'स', '्', 'ट']","['स', '्', 'प', 'ा', 'स', '्', 'ट']"
"['k', 'a', 'a', 't', 'h', 'i', 'y', 'a', 'v', 'a', 'd', 'i']","['क', 'ा', 'ठ', 'ि', 'य', 'ा', 'व', 'ड', '़', 'ी']","['क', 'ा', 'ठ', 'ि', 'य', 'ा', 'व', 'ा', 'ड', '़', 'ी']"
"['b', 'u', 'r', 'l', 'e', 'o', 'n']","['ब', 'र', '्', 'ल', '्', 'स', 'न']","['ब', 'ु', 'र', 'ल', 'े', 'स', 'न']"
"['d', 'e', 'n', 'i', 'e', 'r']","['ड', 'े', 'न', 'ि', 'अ', 'र']","['ड', 'ि', 'न', 'ि', 'य', 'र']"
"['j', 'a', 'm', 'a', 't', 'i']","['ज', 'म', 'ा', 'त', 'ी']","['ज', 'म', 'ा', 'त', 'ी']"
"['b', 'a', 'd', 'a', 'a']","['ब', 'ड', 'ा', '़']","['ब', 'ड', '़', 'ा']"
"['d', 'h', 'a', 'r', 'm', 'a', 'p', 'o', 'o', 'r', 'w', 'e', 'e']","['ध', 'र', '्', 'म', 'प', 'ू', 'र', '्', 'व', 'ी']","['ध', 'र', '्', 'म', 'ा', 'प', 'ू', 'र', 'व', 'ी']"
"['j', 'a', 't', 'i', 'y', 'o', 'n']","['ज', 'ा', 'त', 'ि', 'य', 'ो', 'ं']","['ज', 'त', 'ि', 'य', 'ो', 'ं']"
"['p', 'o', 'o', 'l', 'e']","['प', 'ू', 'ल']","['प', 'ू', 'ल', 'े']"
"['t', 'a', 'r', 'k', 'v', 'a', 'a', 'd']","['त', 'र', '्', 'क', 'व', 'ा', 'द']","['त', 'र', '्', 'क', 'व', 'ा', 'द']"
"['d', 'i', 't']","['ड', 'ि', 'ट']","['ड', 'ी', 'ट']"
"['p', 'r', 'a', 't', 'i', 'b', 'a', 'n', 'd', 'h', 'a', 'h']","['प', '्', 'र', 'त', 'ि', 'ब', 'न', '्', 'ध', 'ः']","['प', '्', 'र', 'त', 'ि', 'ब', 'ं', 'ध']"
"['a', 'n', 'k', 'a']","['अ', 'ं', 'क']","['अ', 'ं', 'क', 'ा']"
"['f', 'a', 't', 'a', 'm', 'a']","['फ', 'ा', 'त', 'म', 'ा']","['फ', 'त', 'म', 'ा']"
"['a', 't', 't', 'a']","['आ', 'ट', 'ा']","['अ', 'ट', 'ा']"
"['j', 'a', 'a', 'n', 'k', 'a', 'a', 'r', 'o', 'n']","['ज', 'ा', 'न', 'क', 'ा', 'र', 'ो', 'ं']","['ज', 'ा', 'न', 'क', 'ा', 'र', 'ो', 'ं']"
"['f', 'o', 'd', 'e']","['फ', 'ो', 'ड', '़', 'े']","['फ', 'ो', 'ड']"
"['i', 'r', 'p', 'u', 'r']","['स', 'ि', 'र', 'प', 'ु', 'र']","['स', 'ि', 'र', 'प', 'ु', 'र']"
"['u', 'k', 'i']","['उ', 'स', 'क', 'ी']","['उ', 'स', 'क', 'ी']"
"['k', 'a', 'r', 'a', 'v', 'a', 'a', 'y', 'e', 'g', 'e', 'e']","['क', 'र', 'व', 'ा', 'य', 'े', 'ग', 'ी']","['क', 'र', 'व', 'ा', 'य', 'े', 'ग', 'ी']"
"['k', 'a', 'u', 'n', 'd', 'a', 'l']","['क', 'ौ', 'ण', '्', 'ड', 'ल']","['क', 'ौ', 'ं', 'ड', 'ल']"
"['p', 'h', 'o', 'o', 'd', 'o', 'n']","['फ', 'ू', 'ड', 'ॉ', 'न']","['फ', 'ू', 'द', 'ो', 'ं']"
"['m', 'o', 't', 'i', 'h', 'a', 'r', 'i']","['म', 'ो', 'त', 'ि', 'ह', 'ा', 'र', 'ी']","['म', 'ो', 'त', 'ी', 'ह', 'र', 'ी']"
"['p', 'e', 'e', 'd', 'i', 'y', 'o', 'n']","['प', 'ी', 'ड', '़', 'ि', 'य', 'ो', 'ं']","['प', 'ी', 'ड', '़', 'ि', 'य', 'ो', 'ं']"
"['l', 'i', 'k', 'h', 'e', 'h', 'a', 'i', 'n']","['ल', 'ि', 'ख', 'े', 'ह', 'ै', 'ं']","['ल', 'ि', 'ख', 'े', 'ह', 'ै', 'ं']"
"['r', 'o', 'l', 'l', 'e', 'r']","['र', 'ो', 'ल', 'र', '्', 'स']","['र', 'ॉ', 'ल', 'र', '्', 'स']"
"['a', 'h', 'a', 'k', 'a', 'l', 'a', 'k', 'a', 'r']","['स', 'ह', 'क', 'ल', 'ा', 'क', 'ा', 'र']","['स', 'ह', 'क', 'ल', 'ा', 'क', 'र']"
"['v', 'a', 'l', 'a', 'd']","['व', 'ल', 'स', 'ा', 'ड']","['व', 'ल', '्', 'स', 'ा', 'द']"
"['d', 'h', 'a', 'n', 'd', 'h', 'e', 'k', 'h', 'o', 'r', 'i']","['ध', 'ं', 'ध', 'े', 'ख', 'ो', 'र', 'ी']","['ध', 'ं', 'ध', 'े', 'ख', 'े', 'र', 'ी']"
"['l', 'a', 'j', 'j', 'a', 'l', 'u']","['ल', 'ज', '्', 'ज', 'ा', 'ल', 'ु']","['ल', 'ज', '्', 'ज', 'ल', 'ू']"
"['b', 'e', 'a', 't']","['ब', 'ी', 'स', '्', 'ट']","['ब', 'ी', 'स', '्', 'ट']"
"['k', 'h', 'a', 'a', 'k', 'a', 'r']","['ख', '़', 'ा', 'स', 'क', 'र']","['ख', 'ा', 'स', 'क', 'र']"
"['t', 'a', 'n', 't', 'a']","['त', 'ा', 'ं', 'त', 'ा']","['त', 'ं', 'त', 'ा']"
"['h', 'a', 'r', 'p', 'a', 'a', 'l']","['ह', 'र', 'प', 'ा', 'ल']","['ह', 'र', 'प', 'ा', 'ल']"
"['h', 'a', 'r', 'y', 'a', 'n', 'a']","['ह', 'र', 'य', 'ा', 'ण', 'ा']","['ह', 'र', 'य', 'ा', 'न', 'ा']"
"['d', 'r', 'a', 'd', 'h']","['द', 'ृ', 'ढ', '़']","['द', '्', 'र', 'ध']"
"['z', 'a', 'b', 'a', 'r', 'd', 'a', 't']","['ज', '़', 'ब', 'र', '्', 'द', 'स', '्', 'त']","['ज', '़', 'ब', 'र', 'द', 'स', '्', 'त']"
"['d', 'h', 'a', 'n', 'k', 'k', 'a', 'r']","['ढ', 'ं', 'क', 'क', 'र']","['ध', 'न', 'क', 'क', 'र']"
['q'],"['क', '्', 'य', 'ू', 'ए', 'स', 'ए', 'स']","['क', '्', 'य', 'ू', 'क']"
"['g', 'u', 'j', 'a', 'r', 'a']","['ग', 'ु', 'ज', 'ा', 'र', 'ा']","['ग', 'ु', 'ज', 'र', 'ा']"
"['j', 'h', 'a', 'u', 'v', 'a', 'a']","['झ', 'उ', 'व', 'ा']","['झ', 'ौ', 'व', 'ा']"
"['p', 'e', 'r', 'e', 'l']","['प', 'े', 'र', 'े', 'ल', '्', 'स']","['प', 'े', 'र', 'े', 'ल', '्', 'स']"
"['m', 'a', 'r', 'l', 'b', 'o', 'r', 'o', 'u', 'g', 'h']","['म', 'ा', 'ल', 'ब', 'र']","['म', 'ा', 'र', '्', 'ल', 'ब', 'ो', 'र', 'ो', 'ग']"
"['u', 'n', 'a', 'a', 'n']","['स', 'ू', 'न', 'स', 'ा', 'न']","['स', 'ु', 'न', 'स', 'ा', 'न']"
"['v', 'a', 'n', 'h', 'v', 'a', 'd']","['व', 'ं', 'व', 'ा', 'द']","['व', 'ं', 'व', 'द', 'द']"
"['r', 'a', 'h', 't', 'r', 'a', 'k']","['र', 'ा', 'ष', '्', 'ट', '्', 'र', 'क']","['र', 'ा', 'ष', '्', 'ट', '्', 'र', 'क']"
"['p', 'r', 'i', 'n', 'c', 'e']","['प', '्', 'र', 'ि', 'ं', 'स']","['प', '्', 'र', 'ि', 'ं', 'स']"
"['t', 'u', 't', 'h']","['ट', '्', 'र', 'ु', 'थ']","['त', 'ु', 'थ']"
"['a', 'a', 'm', 'a', 't', 'e', 'e']","['आ', 'स', 'म', 'त', 'ी']","['आ', 'स', 'म', 'त', 'ि']"
"['k', 'h', 'a', 'n']","['ख', 'ा', 'न']","['ख', 'न']"
"['p', 'o', 'k', 'h', 'r', 'i', 'y', 'a', 'l']","['प', 'ो', 'ख', 'र', 'ि', 'य', 'ा', 'ल']","['प', 'ो', 'ख', 'र', 'ि', 'य', 'ा', 'ल']"
"['a', 'f', 'l', 'a', 't', 'a']","['स', 'फ', '़', 'ल', 'त', 'ा']","['स', 'फ', 'ल', 'त', 'ा']"
"['a', 'n', 'a', 'a', 'v', 'a', 'h', 'y', 'a', 'k']","['अ', 'न', 'ा', 'व', '्', 'य', 'क']","['अ', 'न', 'ा', 'व', '्', 'य', 'क']"
"['w', 'a', 'r', 't', 'h', 'p', 'a', 'r', 'a', 'k']","['स', '्', 'व', 'ा', 'र', '्', 'थ', 'प', 'र', 'क']","['स', '्', 'व', 'र', '्', 'थ', 'प', 'र', 'ा', 'क']"
"['b', 'a', 'd', 'h', 'a', 'o', 'n']","['ब', 'ा', 'ध', 'ा', 'ओ', 'ं']","['ब', 'ढ', '़', 'ा', 'ओ']"
"['r', 'o', 'b', 'i', 'n']","['र', 'ॉ', 'ब', 'ि', 'ं', 'स']","['र', 'ॉ', 'ब', 'ि', 'न', '्', 'स']"
"['p', 'r', 'a', 't', 'i', 'b', 'a', 'd', 'd', 'h', 'a', 't', 'a', 'a']","['प', '्', 'र', 'त', 'ि', 'ब', 'द', '्', 'ध', 'ा', 'त', 'ा']","['प', '्', 'र', 'त', 'ि', 'ब', 'द', '्', 'ध', 'त', 'ा']"
"['u', 'z', 'b', 'e', 'k']","['उ', 'ज', '़', '्', 'ब', 'े', 'क']","['उ', 'ज', 'ब', 'े', 'क']"
"['v', 'i', 'h', 'h', 'i', 'n']","['व', 'ि', 'ष', 'ह', 'ी', 'न']","['व', 'ि', 'ि', 'न']"
"['f', 'u', 'n', 'd']","['फ', 'ं', 'ड']","['फ', 'ं', 'ड']"
"['r', 'a', 'k', 't', 'a', 'a', 'b', 'h']","['र', 'क', '्', 'त', 'ा', 'भ']","['र', 'क', '्', 'त', 'भ']"
"['c', 'a', 'd', 'm', 'i', 'u', 'm']","['क', 'ै', 'ड', 'म', 'ि', 'य', 'म']","['क', 'ै', 'ड', 'म', 'ि', 'य', 'म']"
"['n', 'a', 'g', 'p', 'u', 'r']","['न', 'ा', 'ग', 'प', 'ु', 'र']","['न', 'ा', 'ग', 'प', 'ु', 'र']"
"['n', 'i', 'k', 'a', 'l', 'a', 'n', 'i']","['न', 'ि', 'क', 'ा', 'ल', 'न', 'ी']","['न', 'ि', 'क', 'ा', 'न', 'ा', 'ल', 'ी']"
"['p', 'i', 'd', 'i', 'l', 'i', 't', 'e']","['प', 'ी', 'ड', 'ी', 'ल', 'ा', 'इ', 'ट']","['प', 'ि', 'ड', 'ि', 'ल', 'ा', 'इ', 'ट']"
"['p', 'a', 'r', 'a', 't', 'r', 'o', 'o', 'p', 'e', 'r']","['प', 'ै', 'र', 'ा', 'ट', '्', 'र', 'ू', 'प', 'र']","['प', 'ै', 'र', 'ा', 'ट', '्', 'र', 'ो', 'प', 'र']"
"['k', 'h', 'a', 't', 'e', 'd', 'a', 'a', 'r']","['ख', 'ा', 'त', 'े', 'द', 'ा', 'र']","['ख', 'त', 'े', 'द', 'ा', 'र']"
"['u', 'd', 'a', 'n', 't']","['उ', 'द', 'ं', 'त']","['उ', 'द', 'ा', 'ं', 'त']"
"['c', 'o', 'l', 'd', 'v', 'e', 'l']","['क', 'ा', 'ल', '्', 'ड', 'व', 'े', 'ल']","['क', 'ो', 'ल', '्', 'ड', 'े', 'ल']"
"['a', 'g', 'a']","['स', 'ा', 'ग', 'ा']","['स', 'ा', 'ग', 'ा']"
"['k', 'r', 'u', 't', 'y', 'a', 'a']","['क', 'ृ', 'त', '्', 'य', 'ा']","['क', '्', 'र', 'ु', 'त', '्', 'य', 'ा']"
"['b', 'e', 't', 'h', 'l', 'e', 'h', 'e', 'm']","['ब', 'ै', 'थ', 'ल', 'ह', 'म']","['ब', 'े', 'थ', 'ल', 'ह', 'ी', 'म']"
"['t', 'a', 'l', 'a', 'b', 'g', 'a', 'a', 'r']","['त', 'ल', 'ब', 'ग', 'ा', 'र']","['त', 'ा', 'ल', 'ब', 'ग', 'ा', 'र']"
"['a', 'c', 't', 'i', 'v', 'i', 't', 'i', 'e']","['ऐ', 'क', '्', 'ट', 'ि', 'व', 'ि', 'ट', 'ी', 'ज']","['ए', 'क', '्', 'ट', 'ि', 'व', 'ि', 'ज', 'ी', 'ज']"
"['n', 'r', 'u', 't', 'y', 'o', 'n']","['न', 'ृ', 'त', '्', 'य', 'ो', 'ं']","['न', '्', 'र', 'ु', 'त', '्', 'य', 'ो', 'ं']"
"['h', 'o', 'o', 'p', 'e', 'r']","['ह', 'ू', 'प', 'र']","['ह', 'ू', 'प', 'र']"
"['b', 'h', 'a', 'g', 'a', 'n', 'e']","['भ', 'ग', 'ा', 'न', 'े']","['भ', 'ग', 'न', 'े']"
"['a', 'n', 'g', 'e', 'l', 'o']","['ए', 'ं', 'ज', 'े', 'ल', 'ो']","['ए', 'ं', 'ज', 'े', 'ल', 'ो']"
"['k', 'u', 'r', 'v', 'i']","['क', 'र', '्', 'व', 'ी']","['क', 'ु', 'र', 'व', 'ी']"
"['c', 'e', 'r', 'r', 'i', 't', 'o']","['स', 'े', 'र', 'र', 'ि', 'त', 'ो', 'स']","['स', 'े', 'र', 'ि', 'ट', 'ो', 'स']"
"['k', 'i', 'a', 'a', 'n', 'i']","['क', 'ि', 'स', 'ा', 'न', 'ी']","['क', 'ि', 'स', 'ा', 'न', 'ी']"
"['b', 'r', 'i', 'g', 'g']","['ब', '्', 'र', 'ि', 'ग', '्', 'स']","['ब', '्', 'र', 'ि', 'ग', '्', 'स']"
"['n', 'a', 'h', 'i', 'k']","['न', 'ा', 'ि', 'क']","['न', 'ि', 'ि']"
"['z', 'u', 'n', 'h', 'e', 'b', 'o', 't', 'o']","['ज', '़', 'ु', 'न', '्', 'ह', 'े', 'ब', 'ो', 'ट', 'ो']","['ज', 'ु', 'न', '्', 'ह', 'ो', 'ब', 'ो', 'त', 'ो']"
"['a', 'm', 'r', 'o', 'h', 'i']","['अ', 'म', 'र', 'ो', 'ह', 'ी']","['अ', 'म', 'र', 'ो', 'ह', 'ी']"
"['k', 'a', 'p', 'o', 'o', 'r']","['क', 'प', 'ू', 'र']","['क', 'प', 'ू', 'र']"
"['l', 'u', 'b', 'h', 'a', 'a', 'v', 'n', 'a']","['ल', 'ु', 'भ', 'ा', 'व', 'न', 'ा']","['ल', 'ु', 'भ', 'ा', 'व', 'न', 'ा']"
"['p', 'u', 'r', 'w', 'a', 'f', 'a', 'l', 'g', 'u', 'n', 'i']","['प', 'ू', 'र', '्', 'व', 'ा', 'फ', 'ा', 'ल', '्', 'ग', 'ु', 'न', 'ी']","['प', 'ु', 'र', 'व', 'ा', 'ल', 'ल', 'ग', 'ु', 'न', 'ि']"
"['p', 'u', 'h', 'p', 'a']","['प', 'ु', 'ष', '्', 'प']","['प', 'ु', 'ष', '्', 'प', 'ा']"
"['k', 'h', 'a', 'n', 'a', 'u', 'd', 'a', 'a']","['ख', 'न', 'ौ', 'द', 'ा']","['ख', 'न', 'ौ', 'ड', 'ा']"
"['a', 'd', 'a', 'n', 'a', 'n', 'd']","['स', 'द', 'ा', 'न', 'ं', 'द']","['स', 'द', 'ा', 'न', 'ं', 'द']"
"['g', 'h', 'i', 'e']","['घ', 'ि', 'स', 'े']","['घ', 'ि', 'स', 'े']"
"['b', 'a', 'a', 'g', 'b', 'a', 'g', 'i', 'c', 'h', 'o', 'n']","['ब', 'ा', 'ग', 'ब', 'ग', 'ी', 'च', 'ो', 'ं']","['ब', 'ा', 'ग', 'ब', 'ि', 'ग', 'ो', 'च', 'ो', 'ं']"
"['n', 'a', 'j', 'i', 'b']","['न', 'ज', 'ी', 'ब']","['न', 'ज', 'ी', 'ब']"
"['p', 'u', 'r', 'n', 'v', 'e', 'e', 'k', 'r', 'i', 't']","['प', 'ु', 'र', '्', 'न', 'स', '्', 'व', 'ी', 'क', 'ृ', 'त']","['प', 'ु', 'र', '्', 'ण', 'स', '्', 'व', 'ी', 'क', 'ृ', 'त']"
"['v', 'y', 'a', 'k', 't', 'i', 'g', 'a', 't']","['व', '्', 'य', 'क', '्', 'त', 'ि', 'ग', 'त']","['व', '्', 'य', 'क', '्', 'त', 'ि', 'ग', 'त']"
"['a', 'h', 'e', 'm', 'd', 'a', 'b', 'a', 'd', 'a', 'h']","['अ', 'ह', 'म', 'द', 'ा', 'ब', 'ा', 'द', 'ः']","['अ', 'ह', 'े', 'द', 'म', 'ा', 'ब', 'ा', 'द']"
"['k', 'u', 'n', 'd', 'a', 'l', 'i', 'y', 'a']","['क', 'ु', 'ं', 'ड', 'ल', 'ि', 'य', 'ा', 'ँ']","['क', 'ु', 'ं', 'ड', 'ा', 'ल', 'ि', 'य', 'ा']"
"['e', 'k', 't', 'h', 'i']","['इ', 'क', 'ठ', '्', 'ठ', 'ी']","['ए', 'क', '्', 'थ', 'ी']"
"['d', 'a', 'k', 'a']","['ड', 'ा', 'क', 'ा']","['ड', 'ा', 'क', 'ा']"
"['d', 'a', 'f', 'a', 'n']","['द', '़', 'फ', 'न']","['द', 'ा', 'फ', 'न']"
"['k', 'a', 'n', 'g', 'a', 'n']","['क', 'ं', 'ग', 'न']","['क', 'ा', 'ं', 'ग', 'न']"
"['h', 'a', 'a', 'n', 'f', 't', 'e']","['ह', 'ा', 'ं', 'फ', 'त', 'े']","['ह', 'ा', 'ँ', 'फ', 'त', 'े']"
"['y', 'a', 'r', 'o', 'o', 'h', 'a', 'l', 'e', 'i', 'm']","['य', 'र', 'ू', 'ल', 'े', 'म']","['य', 'र', 'ू', 'े', 'ल', 'म']"
